Invoice No.,Billing Type,Company Code,Plant,Plant Name,Head Office,Invoice Date,Tax Invoice No.,Accounting Doc No.,Bill to Party,Bill to Party Name,Bill to Party PAN,Bill to Party GST No,Bill To State Code,Bill to State Name,Bill To District,Ship To Party,Ship To Party Name,Ship To PAN,Ship To GST No,Ship To State Code,Ship To State Name,Ship To District,Ship To City,Pay To Party,Pay To Party Name,Material Group 1,Material Group 1 Des,Item Code,Item Description,HSN Code,Batch Number,Sale Unit (UOM),Batch Quantity,Free/Sale,Mfg. Date,Exp Date,Exchange Rate,MRP,PTR,Sale Rate,Sales Amount,Discount %,Discount Amount,Net Amount,Plate Charges,Freight,Taxable Amount,IGST Rate,IGST Amount,CGST Rate,CGST Amount,SGST Rate,SGST Amount,Total Amt After Tax,TCS Base,TCS Amount,Round Off,Grand Total,Party Order No,Party Order Date,Vehicle No,LR No,Transporter Name,Payment Term,No of Boxes,Gross Weight of Prod,Distribution Channel,Division,Division Description,Sales Office,Sales Office Descrip,Sales Group,Sales Group Descript,Material Group,Material Group Descr,IRN No,Acknowledgement No,Eway Bill No,Shipment No.,Shipment Cost,Freight Amount,Service Entry Sheet,Freight PO NO,Sales Empolyee,HQ Code,Hospital Name
0090000646,ZDOM,1000,1000,,,08-11-2023,DI2312700028,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,TEST,08-11-2023,MH19BK1241,12090,Supplier,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,af5f117fcc7705649d1bb4101bb4e2d0e4718749dd60078d78e690bc29198176,152310022722991,521008896827,1209,,0.00,,,0000005673,,
0090000647,ZDOM,1000,1000,,,08-11-2023,DI2312700029,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,test,08-11-2023,MH19BK0123,7686,Supplier,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,4205093f6ef243fb0341c4482e919a197cdf4d7b591f556c93e50437ef2c2873,152310022723909,581008896854,1211,,0.00,,,0000005673,,
0090000648,ZDOM,1000,1000,,,09-11-2023,DI2312700030,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,test,09-11-2023,MH19BK1112,0669,Supplier,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,4db7c16ef7cccf089acf767ff9b23fc7fcc139cab2bdf68af7717972325939a0,152310022724388,591008896873,1212,,0.00,,,0000005673,,
0090000649,ZDOM,1000,1000,,,09-11-2023,DI2312700031,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,test,09-11-2023,,,,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,0000005673,,
0090000650,ZDOM,1000,1000,,,09-11-2023,DI2312700032,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,test,09-11-2023,,,Supplier,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,a64a072913b13207cd76c564361dee607c3b874d45f8ed852bed59f99e82abe4,152310022724500,,1218,,0.00,,,0000005673,,
0090000651,ZDOM,1000,1000,,,09-11-2023,DI2312700033,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,test,09-11-2023,,,Supplier,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,d2d1a08c02678a320ff1ac46ae78139ad7078ec58bf4374854bfcc716c8ac7e8,152310022724591,,1219,,0.00,,,0000005673,,
0090000652,ZDOM,1000,1000,,,09-11-2023,DI2312700034,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,test,09-11-2023,MH19BK1113,0670,Test Vendor 09112021,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,549a5308b04cd371f4659bba160fa0347088afb84845d4356ad5e00a1e9726ed,152310022725068,,1213,1063,0.00,,,0000005673,,
0090000653,ZDOM,1000,1000,,,09-11-2023,DI2312700035,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,test,09-11-2023,MH19BK1114,0671,Test Vendor 09112021,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,dc52212404106c09bdb5bc980aff1990b1396a0850db8c8032785eba13b2bd5b,152310022725077,,1214,1064,0.00,,,0000005673,,
0090000654,ZDOM,1000,1000,,,09-11-2023,DI2312700036,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,test,09-11-2023,MH19BK1115,0672,Test Vendor 09112021,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,42a402b7a057deb5890bcf7a97289bbb02bca630eb813f9e972f3b26122f5f14,152310022725095,,1215,1065,0.00,,,0000005673,,
0090000655,S1,1000,1000,,,09-11-2023,DI2312700030,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,-5.55,10.00,-0.56,-4.99,0.00,0.00,-4.99,18.00,-0.90,0.00,0.00,0.00,0.00,-0.90,0.00,0.00,0.11,-6.00,test,09-11-2023,MH19BK1112,0669,Supplier,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,,,,1212,,0.00,,,0000005673,,
0090000657,ZDOM,1000,1000,,,15-11-2023,DI2312700037,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,PC,10.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,555.55,10.00,55.56,499.99,0.00,0.00,499.99,18.00,90.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.01,590.00,,,,,,"14 days 2%, 30 net",0,0.000,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,,,
0090000658,ZDOM,1000,1000,,,15-11-2023,DI2312700038,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,PC,10.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,555.55,10.00,55.56,499.99,0.00,0.00,499.99,18.00,90.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.01,590.00,SAPMMIT,15-11-2023,CH01C9810,ASDK001L,AISHWARYA TEST VENDOR 6,"14 days 2%, 30 net",0,11.000,10,01,Pharma Product,,,,,004,Ethical,,,,1224,1071,0.00,,,0000005673,,
0090000668,S1,1000,1000,,,15-11-2023,DI2312700037,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,PC,10.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,-555.55,10.00,-55.56,-499.99,0.00,0.00,-499.99,18.00,-90.00,0.00,0.00,0.00,0.00,-90.00,0.00,0.00,0.01,-590.00,,,,,,"14 days 2%, 30 net",0,0.000,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,,,
0090000669,ZDOM,1000,1000,,,17-11-2023,DI2312700039,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,10.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,"14 days 2%, 30 net",0,1.100,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,,,
0090000670,ZDOM,1000,1000,,,17-11-2023,DI2312700040,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,10.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,55.55,10.00,5.56,49.99,0.00,0.00,49.99,18.00,9.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.01,59.00,SAPMMIT,15-11-2023,,,,"14 days 2%, 30 net",0,1.100,10,01,Pharma Product,,,,,004,Ethical,7fda58e551c7f512c0d5147a7602bd7fd6fa4af46a688adabb2b13434f4077a3,152310022740544,,,,0.00,,,0000005673,,
0090000680,ZDOM,1000,1200,,,21-11-2023,DI2310300001,90000005,10000008,4S HITECH PHARMA,AJOPK2071J,29AJOPK2071J1ZU,29,Karnataka,,10000008,4S HITECH PHARMA,AJOPK2071J,29AJOPK2071J1ZU,29,Karnataka,,BANGALORE WEST,10000008,4S HITECH PHARMA,004,Ethical,1400000002,Cipronir,30049099,DELACHK01,PC,8.000,Sales,07.11.2023,31.10.2025,1.00,,,100.00,888.90,8.00,68.45,820.45,0.00,0.00,820.45,12.00,98.45,0.00,0.00,0.00,0.00,98.45,0.00,0.00,0.10,919.00,SAPMMIT,21-11-2023,CH01K4879,11221A,AISHWARYA TEST VENDOR 6,Payment Within 60 Days,0,11.000,10,01,Pharma Product,,,,,004,Ethical,,,,1237,,0.00,,,0000005673,,
0090000680,ZDOM,1000,1200,,,21-11-2023,DI2310300001,90000005,10000008,4S HITECH PHARMA,AJOPK2071J,29AJOPK2071J1ZU,29,Karnataka,,10000008,4S HITECH PHARMA,AJOPK2071J,29AJOPK2071J1ZU,29,Karnataka,,BANGALORE WEST,10000008,4S HITECH PHARMA,004,Ethical,1400000002,Cipronir,30049099,DELACHK01,PC,2.000,Free,07.11.2023,31.10.2025,1.00,,,100.00,222.20,100.00,222.20,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SAPMMIT,21-11-2023,CH01K4879,11221A,AISHWARYA TEST VENDOR 6,Payment Within 60 Days,0,0.000,10,01,Pharma Product,,,,,004,Ethical,,,,1237,,0.00,,,0000005673,,
0090000699,ZDOM,1000,1305,C&F – ETHICAL DIVISION-AHC-CUTTACK,,28-11-2023,DI2311000001,,10000008,4S HITECH PHARMA,AJOPK2071J,29AJOPK2071J1ZU,29,Karnataka,,10000008,4S HITECH PHARMA,AJOPK2071J,29AJOPK2071J1ZU,29,Karnataka,,BANGALORE WEST,10000008,4S HITECH PHARMA,,,1400000016,Cipronir 100 ML,26011110,0000000364,EA,10.000,Sales,22.11.2023,31.10.2025,1.00,,,260.00,"2,600.00",8.85,230.00,"2,370.00",0.00,0.00,"2,370.00",12.00,284.40,0.00,0.00,0.00,0.00,284.40,0.00,0.00,-0.40,"2,654.00",SAPMMIT,28-11-2023,,,,Payment Within 60 Days,0,"1,000.000",10,01,Pharma Product,,,,,,,,,,,,0.00,,,0000005432,ANANTAPUR,
0090000702,ZDOM,1000,1101,,,28-11-2023,DI2310200003,90000006,10000008,4S HITECH PHARMA,AJOPK2071J,29AJOPK2071J1ZU,29,Karnataka,,10000008,4S HITECH PHARMA,AJOPK2071J,29AJOPK2071J1ZU,29,Karnataka,,BANGALORE WEST,10000008,4S HITECH PHARMA,002,Generic,1400000018,AB DOLE 400 TABLET (10X10X1) Injections,30041090,CHAGT00001,BAG,10.000,Sales,31.10.2023,30.09.2025,1.00,,,67.00,"13,400.00",303.51,"2,670.00","10,730.00",0.00,0.00,"10,730.00",12.00,"1,287.60",0.00,0.00,0.00,0.00,"1,287.60",0.00,0.00,0.40,"12,018.00",SAPMMIT,28-11-2023,,,,Payment Within 60 Days,0,30.800,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,0000005432,ANANTAPUR,
0090000702,ZDOM,1000,1101,,,28-11-2023,DI2310200003,90000006,10000008,4S HITECH PHARMA,AJOPK2071J,29AJOPK2071J1ZU,29,Karnataka,,10000008,4S HITECH PHARMA,AJOPK2071J,29AJOPK2071J1ZU,29,Karnataka,,BANGALORE WEST,10000008,4S HITECH PHARMA,002,Generic,1400000018,AB DOLE 400 TABLET (10X10X1) Injections,30041090,CHAGT00001,EA,80.000,Free,31.10.2023,30.09.2025,1.00,,,67.00,"5,360.00",100.00,"5,360.00",0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SAPMMIT,28-11-2023,,,,Payment Within 60 Days,0,0.000,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,0000005432,ANANTAPUR,
0090000719,ZDOM,1000,1000,,,06-12-2023,DI2312700041,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,test,09-11-2023,BR019100,1253,Test Vendor 09112021,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,2cc03a9550fd3442d02e28b8b8956e498a69f07486ec8067a918a2c12e1be8ec,152310022661247,,1253,,0.00,,,0000005673,,
0090000724,ZDOM,1000,1000,,,06-12-2023,DI2312700042,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,test,09-11-2023,,,Test Vendor 09112021,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,82b103be23544611c2eb275988895c19b8b5bd673978c3ec0469510712cddfb9,152310022665401,,1254,,0.00,,,0000005673,,
0090000725,ZDOM,1000,1000,,,06-12-2023,DI2312700043,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,test,09-11-2023,MH19BK1111,656560,Supplier,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,bc99308d31a4e61937dd31a80c1dd4a19bb3de4b9cb522e155cbf202d3633d8c,152310022669586,591008896435,1255,,0.00,,,0000005673,,
0090000727,ZDOM,1000,1000,,,06-12-2023,DI2312700044,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,test,09-11-2023,MH19BK1110,0738,Supplier,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,8f02d4505ef60a466f9afcf23bc8991a86fbe1657aa287eb07f078f3a500e1de,152310022669780,571008896442,1256,,0.00,,,0000005673,,
0090000730,ZST2,1000,1101,,,11-12-2023,DI2310200004,90000007,1102,Aishwarya Healthcare Sikkim,AAOFA1208J,11AAOFA1208J1ZW,11,Sikkim,SOUTH SIKKIM,1102,Aishwarya Healthcare Sikkim,AAOFA1208J,11AAOFA1208J1ZW,11,Sikkim,SOUTH SIKKIM,Samardung,1102,Aishwarya Healthcare Sikkim,,,1100000001,Test Raw Material,17019910,0000000346,EA,1.000,Sales,26.07.2023,26.07.2024,1.00,,,125.00,125.00,0.00,0.00,125.00,0.00,0.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.00,,,,,,,0,0.000,30,01,Pharma Product,,,,,,,,,,,,0.00,,,,,
0090000731,S1,1000,1101,,,11-12-2023,DI2310200004,100000001,1102,Aishwarya Healthcare Sikkim,AAOFA1208J,11AAOFA1208J1ZW,11,Sikkim,SOUTH SIKKIM,1102,Aishwarya Healthcare Sikkim,AAOFA1208J,11AAOFA1208J1ZW,11,Sikkim,SOUTH SIKKIM,Samardung,1102,Aishwarya Healthcare Sikkim,,,1100000001,Test Raw Material,17019910,0000000346,EA,1.000,Sales,26.07.2023,26.07.2024,1.00,,,125.00,-125.00,0.00,0.00,-125.00,0.00,0.00,-125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-125.00,,,,,,,0,0.000,30,01,Pharma Product,,,,,,,,,,,,0.00,,,,,
0090000732,ZST2,1000,1101,,,11-12-2023,DI2310200005,90000008,1102,Aishwarya Healthcare Sikkim,AAOFA1208J,11AAOFA1208J1ZW,11,Sikkim,SOUTH SIKKIM,1102,Aishwarya Healthcare Sikkim,AAOFA1208J,11AAOFA1208J1ZW,11,Sikkim,SOUTH SIKKIM,Samardung,1102,Aishwarya Healthcare Sikkim,,,1100000001,Test Raw Material,17019910,0000000346,EA,1.000,Sales,26.07.2023,26.07.2024,1.00,,,125.00,125.00,0.00,0.00,125.00,0.00,0.00,125.00,12.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140.00,,,,,,,0,0.000,30,01,Pharma Product,,,,,,,b664cd7f645371ec28c4fd4bff33b06d6bff9e42d9fc4b020f714a41ea33ddf4,152310022686291,,,,0.00,,,,,
0090000735,ZECI,1000,1000,,,11-12-2023,EX2312700001,90000009,10000021,AL-AZZANI STORES FOR MEDICINES TRAD,,,004,Zealand,,10000021,AL-AZZANI STORES FOR MEDICINES TRAD,,,004,Zealand,,OTHER COUNTRY,10000021,AL-AZZANI STORES FOR MEDICINES TRAD,,,1400000002,Cipronir 100 ML,30049099,0000000115,EA,10.000,Sales,15.11.2021,15.11.2023,70.00,1199,900.00,17.50,175.00,0.00,0.00,175.00,0.00,0.00,175.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175.00,12,06-01-2022,HP12A5755,,,"14 days 2%, 30/1,5%, 45 net",5,"1,000.000",20,01,Pharma Product,O001,Mumbai Sales Office,G03,Exports,,,756032c39d5f6e6c19c5fe0975cf30ec88caafe304e9b49f5b7eb52cdaf6ae2e,152310022697066,,,,0.00,,,,,
0090000736,S1,1000,1000,,,11-12-2023,EX2312700001,100000002,10000021,AL-AZZANI STORES FOR MEDICINES TRAD,,,004,Zealand,,10000021,AL-AZZANI STORES FOR MEDICINES TRAD,,,004,Zealand,,OTHER COUNTRY,10000021,AL-AZZANI STORES FOR MEDICINES TRAD,,,1400000002,Cipronir 100 ML,30049099,0000000115,EA,10.000,Sales,15.11.2021,15.11.2023,70.00,1199,900.00,0.25,-2.50,0.00,0.00,-2.50,0.00,0.00,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.50,12,06-01-2022,HP12A5755,,,"14 days 2%, 30/1,5%, 45 net",5,"1,000.000",20,01,Pharma Product,O001,Mumbai Sales Office,G03,Exports,,,,,,,,0.00,,,,,
0090000737,ZECI,1000,1000,,,11-12-2023,EX2312700002,90000010,10000021,AL-AZZANI STORES FOR MEDICINES TRAD,,,004,Zealand,,10000021,AL-AZZANI STORES FOR MEDICINES TRAD,,,004,Zealand,,OTHER COUNTRY,10000021,AL-AZZANI STORES FOR MEDICINES TRAD,,,1400000002,Cipronir 100 ML,30049099,0000000115,EA,10.000,Sales,15.11.2021,15.11.2023,70.00,1199,900.00,17.50,175.00,0.00,0.00,175.00,0.00,0.00,175.00,12.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.00,12,06-01-2022,HP12A5755,,,"14 days 2%, 30/1,5%, 45 net",5,"1,000.000",20,01,Pharma Product,O001,Mumbai Sales Office,G03,Exports,,,,,,,,0.00,,,,,
0090000738,S1,1000,1000,,,11-12-2023,EX2312700002,100000003,10000021,AL-AZZANI STORES FOR MEDICINES TRAD,,,004,Zealand,,10000021,AL-AZZANI STORES FOR MEDICINES TRAD,,,004,Zealand,,OTHER COUNTRY,10000021,AL-AZZANI STORES FOR MEDICINES TRAD,,,1400000002,Cipronir 100 ML,30049099,0000000115,EA,10.000,Sales,15.11.2021,15.11.2023,70.00,1199,900.00,0.25,-2.50,0.00,0.00,-2.50,0.00,0.00,-2.50,12.00,-0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.80,12,06-01-2022,HP12A5755,,,"14 days 2%, 30/1,5%, 45 net",5,"1,000.000",20,01,Pharma Product,O001,Mumbai Sales Office,G03,Exports,,,,,,,,0.00,,,,,
0090000739,ZECI,1000,1000,,,11-12-2023,EX2312700003,90000011,10000021,AL-AZZANI STORES FOR MEDICINES TRAD,,,004,Zealand,,10000021,AL-AZZANI STORES FOR MEDICINES TRAD,,,004,Zealand,,OTHER COUNTRY,10000021,AL-AZZANI STORES FOR MEDICINES TRAD,,,1400000002,Cipronir 100 ML,30049099,0000000115,EA,10.000,Sales,15.11.2021,15.11.2023,70.00,1199,900.00,17.50,175.00,0.00,0.00,175.00,0.00,0.00,175.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175.00,12,06-01-2022,HP12A5755,,,"14 days 2%, 30/1,5%, 45 net",5,"1,000.000",20,01,Pharma Product,O001,Mumbai Sales Office,G03,Exports,,,,,,,,0.00,,,,,
